STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
09,170,165801,5370,+41.374361,-072.925098
09,170,165802,4103,+41.366689,-072.947346
09,170,165900,8178,+41.415847,-072.925824
09,170,166002,6894,+41.412914,-072.896229
09,170,166003,2473,+41.385224,-072.906426
09,170,166004,4350,+41.394592,-072.910000
09,170,167101,3847,+41.400470,-072.873892
09,170,167102,4289,+41.377615,-072.894305
09,170,167201,4183,+41.380697,-072.855227
09,170,167202,4332,+41.402998,-072.841025
09,170,167301,7602,+41.362119,-072.843068
09,170,170100,1679,+41.539519,-072.795701
09,170,170200,1900,+41.541523,-072.803828
09,170,170300,2453,+41.543228,-072.810826
09,170,170400,1772,+41.544631,-072.822148
09,170,170500,5442,+41.529942,-072.842543
09,170,170600,2516,+41.531656,-072.826423
09,170,170700,2672,+41.533639,-072.815105
09,170,170800,5925,+41.523165,-072.811044
09,170,170900,2705,+41.533664,-072.808684
09,170,171000,2045,+41.534017,-072.798136
09,170,171100,5597,+41.520800,-072.795077
09,170,171201,4709,+41.511911,-072.780735
